"bambara","french"
"Ayi, ne tɛna foro kura bin ɲinan : ne ka foro man kɔrɔ.","Non, je ne ferai pas un nouveau champ cette année : Mon champ n’est pas vieux."
"Ala ka bɛɛ dɛmɛ i ka baara la !","Que Dieu aide chacun dans son travail !"
"Amiina !","Amen!"
"U ka ɲɔgɔnye in yɛrɛ kuncɛlen kɔ, talikɛlaw si ma dantigɛli jɔnjɔn kɛ u ka fɔlen kan SEMA ka dagayɔrɔ la Kidali.","Leur entrevue elle-même terminée, aucun participant n'a donné d'explication précise sur la teneur de leurs conversations au camp de la CMA à Kidal."
"Nka ko dɔnbaga dɔw n'a talikɛla dɔw kɔni ye laseli kɛ ɲɔgɔnye in kan u ka bɔlɔlɔsiraw fɛ, inafɔ SEMA tɔnden Baye Ag Mahmud.","Mais certains experts et certains participants ont, eux,  fait des communication sur internet à propos de cette entrevue, comme un membre de la CMA, Baye Ag Mahmud."
"Ale ko lajɛ kɛrɛnkɛrɛnnen in kɛra sababu ye olu k'u sinsin u ka laɲinikan kura ye, n'o ye ka lajɛ dɔ kɛ Alize bɛnkansɛbɛn in yɛrɛ kan yɔrɔ yeleke dɔ la.","Selon lui, la raison de cette réunion était d'appuyer leur demande renouvelée qu'une réunion sur les accords d'Alger se tienne en un lieu neutre."
"Ani, ka ɲini diɲɛmagɛnkɛbagaw fɛ fana u k'u ɲɛna ta bɛnkan in lawaleyali layidu kan na, wali jɛɲɔgɔnya tɛmɛni u n'olu cɛ.","Il était également demandé aux responsables de la sécurité mondiale de tourner leur regard vers les promesses d'application de cet accord, ou bien d'abandonner leur association avec celles-ci."
"O kɔ, SEMA tɔnden in b'a d'a kan, k'u y'a ɲini fana ko Mali marabagaw kana wolomalikɛ jamanadenw ni ɲɔgɔn cɛ inafɔ a sariya b'a ɲini cogo min,","Ce membre de la CMA a ensuite ajouté qu'il demandait aussi au gouvernement du Mali de ne pas faire de ségrégation entre les maliens comme il est stipulé dans la loi,"
"Sabu ko maa caman fagara kɔsa in na Menaka ni Ansongo k'u ma fɛn fɔ o ko la.","en effet, de nombreuses personnes ont été tuées récemment à Ménaka et à Asongo, mais ils n'ont pas fait de déclaration à ce sujet."
"Kasɔrɔ Mali marabagaw fana ko SEMA banbaganci kulu kɔrɔw ninnu de tɛ ka Alize bɛnkansɛbɛn lawaleyali nɔgɔya olu ma.","En effet, le gouvernement du Mali ont déclaré de leur côté que les ces anciens groupes rebelles de la CMA ne leur rendaient pas la tâche facile pour appliquer les accords d'Alger."
"U ka kɔkanko minisiri Abdulaye Diop ka fɔ la ONU ɲɛma dɔgɔkun tɛmɛnen.","C'est ce qu'a déclaré devant l'ONU leur ministre des affaires étrangères Abdoulaye Diop."
"Bawo, k'o lawaleyali baaralakɔlɔsi kulu ka ɲɔgɔnye fɛn o fɛn la, o SEMA maaw bɛ kɛnyɛrɛye maa dɔ de ci ka taa, nk'u yɛrɛ ka ɲɛmaaw tɛ yen.","En effet, à toutes les réunion du comité de suivi des accords, la CMA envoie des entrepreneurs privée, mais aucun de leur dirigeants n'est présent."
"O kumaw yɛrɛ de ye dɔ fara u cɛ fɔɲɔgɔnkɔw kan, SEMA mɔgɔw ka sɔrɔ k'a latigɛ dɔgɔkun tɛmɛnen in k'u sen bɔ bɛnkansɛbɛn in baaraw la fɔlɔ, ani Mali sariyasunba kura baara tɔ,","De tels échanges n'ont fait qu'empirer la dispute, les représentants du CMA décidant alors de se retirer des travaux sur les Accords, ainsi que sur le reste de la nouvelle constitution du Mali."
"Ko fɔ lajɛ kɛrɛnkɛrɛnnen dɔ ka boloda yɔrɔ wɛrɛ olu ni Mali ani seere wɛrɛw cɛ bɛnkansɛbɛn in lawaleyali kan.","Il faut disent-ils que soit organisé une réunion spéciale en terrain neutre entre eux-mêmes, le Mali et d'autres témoins, pour discuter de l'application des Accords."
"Sirajɛ sera foro la.","Siraje est arrivée au champ."
"Jigi, i ni baara !","Jigi, toi et le travail !"
"Nba, i ni taama !","Merci, toi et la marche ! "
"I nana ?","Tu es venue ?"
"Ɔwɔ, ne nana.","Oui, je suis venue."
"I nana joona, o diyara n ye !","Tu es venue tôt, cela m’a fait plaisir !"
"« to » filɛ !","Voici le «to»!"
"Paul dun ?","Et Paul?"
"Paul taara so.","Paul est parti à la maison."
"I ni ale ma kunbɛn ?","Ne vous êtes-vous pas rencontrés ?"
"Ayi, an ma kunbɛn !","Non, nous ne nous sommes pas rencontrés !"
"Baba ma na i fɛ wa ?","Baba n’est-il pas venu avec toi ?"
"Ayi, a tora so.","Non, il est resté à la maison."
"A ma bɔ « lakɔli » la joona wa ?","N'est-il pas sorti tôt de l’école ?"
"Ɔwɔ, a bɔra lakɔli la joona, ko a man kɛnɛ.","Oui, il est sorti tôt de l’école, il dit qu’il est malade."
"I ma taa n'a ye furakɛso la wa ?","N’es-tu pas allée avec lui au dispensaire ?"
"Ayi, an ma taa furakɛso la.","Non, nous ne sommes pas allés au dispensaire."
"I ma miiri o la wa ?","N’y as-tu pas pensé ?"
"Ɔwɔ, ne miirila o la.","Oui, j’y ai pensé."
"O tuma, mun kɛra ?","Alors, que s’est-il passé ?"
"Furakɛli tuma tɛmɛna !","Le temps des soins était passé !"
"Aw tɛ taa wula fɛ wa ?","N’irez-vous pas l’après-midi ?"
"An be taa wula fɛ.","Nous irons l’après-midi."
"Ala ka bana nɔgɔya !","Que Dieu diminue la maladie !"
"Amiina !","Amen!"
"Ayiwa, i t'i tɛgɛ ko ?","Bon, ne te laves-tu pas pas les mains ?"
"Ne tɛgɛ kora kaban !","Je me suis déjà lavé les mains !"
"I tɛ ne dɛmɛ ?","Ne m'aides-tu pas ?"
"Ne fara !","Je suis rassasiée !"
"Ne fana fara, i ni ga !","Moi aussi, je suis rassasié. Toi et la cuisine !"
"I ma ga ye !","Tu n’as pas vu la cuisine !"
"To ma diya wa ?","Est-ce que le «to» n’a pas été bon ?"
"Ɔwɔ, to diyara yɛrɛ !","Si, le «to» a été même très bon !"
"Nka, tile in na, kɔngɔ tɛ n na kosɛbɛ !","Mais, ce midi, je n’ai pas très faim !"
"Su rɔ, i ma da joona !","Hier soir, tu ne t’es pas couché tôt !"
"Tiɲɛ don, ne ma da joona su rɔ.","C’est vrai, je ne me suis pas couché tôt hier soir."
"Ne ni baba mɛnna baro la.","Je suis resté longtemps à converser avec papa."
"I sɛgɛnna, i t'i da dɔɔnin !","Tu es fatigué, ne te couches-tu pas un peu ?"
"Ayi, a tɛ se o la !","Non, ce n’est pas à ce point-là !"
"Ɲɛnajɛ bɛ su in na !","Il y a la fête ce soir !"
"O ye tiɲɛ ye, nka ne ma sɛgɛn kosɛbɛ.","C’est vrai, mais je ne suis pas beaucoup fatigué."
"Ne bɛna dɔɔnin kɛ hali bi !","Je vais en faire encore un peu!"
"Baasi tɛ, ne fana bɛ taa dɔgɔ ɲini kungo rɔ.","D'accord, moi aussi, je vais chercher du bois en brousse."
"O ka kɛ, k'an sɔɔni !","Que cela se fasse, à bientôt !"
"Amiina !","Amen !"
"Karamɔgɔ ni kalandenw bɛ bada la.","Le maître et les élèves sont au lac."
"Maria, i tɛ tasuma dadon ?","Maria, n’attises-tu pas le feu ?"
"Paul, dɔgɔ dalajɛ ne kɔrɔ yan.","Paul, rassemble le bois près de moi ici."
"I madon ne la !","Approche-toi de moi!"
"An ka dumuniko ɲɛnabɔ sa !","Réglons donc l'affaire de la nourriture !"
"Paul, e ka sogo tigɛtigɛ !","Paul, coupe la viande en petits morceaux !"
"An tɛ sogo jiran ?","Ne faisons-nous pas frire la viande ?"
"O ka teli !","Cela est vite fait !"
"Ayiwa, sogo mɔna !","Eh bien, la viande est cuite !"
"Karamɔgɔ... a nɛnɛ !","Maître... goûte-la !"
"A ka di dɛ !","Elle est vraiment bonne !"
"An tɛ dumuniko lajɛ ?","N’allons-nous pas manger ?"
"An k'a daminɛ !","Commençons !"
"Tiɲɛ na, a kɛra fa ye !","Vraiment, on s’est rassasié !"
"Ne fana fara, karamɔgɔ, i ni goni !","Moi aussi, je suis rassasié, Maître, toi et le coup de feu !"
"Nba !","Merci !"
"Aw bɛɛ lajɛlen, abarika !","19"
"Abarika Ala ye !","Merci à Dieu!"
"Maria, i ni ga !","Maria, toi et la cuisine !"
"K'a suma i kɔnɔ !","Que cela se refroidisse en ton ventre !"
"Baasi tɛ, ne bɛ taa ba kɔ !","Bon, je vais derrière le lac !"
"A ! ne kɔni tɛ ba tigɛ !","Ah! Quant à moi, je ne traverse pas le lac !"
"An ka kurun mabɔ dankan na !","Éloignons la pirogue de la berge !"
"An k'an madon dun na !","Approchons-nous de l’eau profonde !"
"An ka taa !","Partons !"
"Wula selen.","L’après-midi est arrivé."
"Ayiwa, sotaatuma sera !","Eh bien, il est l’heure d’aller à la maison !"
"Aw tɛ minanw dalajɛ ?","Ne rassemblez-vous pas les bagages ?"
"An tɛ tasuma faga ?","N'éteignons-nous pas le feu ?"
"Nɛgɛsotigi ka ca sira la, u bɔra min ?","Les cyclistes sont nombreux sur la route, d’où viennent-ils ?"
"U bɔra ɲɔgosiyɔrɔ la.","Ils reviennent de l’aire de battage du mil."
"Ɲɔgosilaw, aw ni bere !","Batteurs de mil, vous et le bâton !"
"Nba, aw ni boli !","Merci, vous et la course !"
"Muso caman b'u sen na, n balimamusow, aw fana tun bɛ ɲɔgosi la wa ?","Beaucoup de femmes sont à pied, mes sœurs, vous aussi, étiez-vous en train de battre le mil ?"
"Ayi, an tun bɛ ɲɔfyɛ la.","Non, nous étions en train de vanner le mil."
"Aw kɛnɛ ka ɲɔ dun !","Que vous mangiez le mil en bonne santé !"
"Amiina !","Amen ! "
"Aw t'an ta ?","Ne nous prenez-vous pas ?"
"Mɔbili fara dɛ !","La voiture est vraiment pleine !"
"Karamɔgɔ, sogo tɛ ?","Maître, n’est-ce pas une biche ?"
"Minni ?","Où?"
"A y'i pan sisan, i t'a bon ?","Elle a sauté tout de suite, ne la vises-tu pas ?"
"Ayi dɛ, sogo man ca bilen !","Pas du tout, il n’y a plus beaucoup de biches !"
"Karamɔgɔ, i ka ɲi !","Maître, tu es bon!"
"Dibi donna, i tɛ « Phare » mɛnɛ ?","Il fait noir, n’allumes-tu pas les phares ?"
"An sera Falajɛ soda la kaban.","Nous sommes déjà à l'entrée de Falaje."
"Jigi tɛ ?","N'est-ce pas Jigi ? "
"Jigi, i ni ce !","Jigi salut !"
"Nba, aw ni mɔnni !","Merci, vous et la pêche !"
"Bada ka kɛnɛ ?","52"
"Tɔɔrɔ tɛ !","Pas de mal!"
"Jɛgɛw ka kɛnɛ ?","Les poissons sont-ils bien portants ?"
"Tɔɔrɔ tɛ jɛgɛw la.","Pas de mal aux poissons !"
"Aw ma n sama ?","N’avez-vous apporté quelque chose ?"
"O kɛra.","Cela a été fait."
"O na diya jubaatɔ ye dɛ !","Cela fera très plaisir à la nouvelle accouchée !"
"Aw ni baraji !","Vous et la récompense divine !"
"Nba !","Merci !"
"Fagali minnu bɛ ka fɔ olu kɛra kɛrɛnkɛrɛnnenya la Sumuni dugu de la Segu marabolo kɔnɔ.","Ces meurtres dont on parle ont eu lieu en particulier dans le village de Soumouni, région de Ségou."
"RFI kunnafonidiso ye seereya sɔrɔ dugu in maa dɔw de fɛ.","Radio RFI a obtenu des témoignages de quelques personnes."
"U ko kabi kari tɛmɛnen wula fɛ,","Selon, eux, depuis dimanche dernier au soir,"
"Ko Mali sɔrɔdasiw n'u dɛmɛbagaw irisiw tun bɛ laraweli baaraw sugu bɛɛ la Sumuni dugu kɔnɔ.","les militaires maliens et leurs supplétifs russes avaient entrepris toutes sortes de fouilles dans le village de Sumuni."
"Bawo u tun sigalen b'a la ni JNIM ani katiba Masina diinɛ dansagonwalekulu ninnu tun tɛ dugu in kɔnɔ.","En effet ils se demandaient si le JNIM et ces groupes djihadistes n'étaient pas dans ce village."
"Sabula a bɛ kalo damadɔ bɔ sumunikaw n'u de bɛɛ dugu caman ye bɛnkan ɲini ni nin dansagonwalekulu ninnu ye.","Il faut dire que, depuis plusieurs mois, les habitants de Soumouni et de beaucoup de villages alentours ont dû se résoudre à passer des accords avec ces djihadistes."
"Walasa ka taa u magow la lafiya kɔnɔ.","Afin de pouvoir vaquer à leurs occupations en paix."
"O seere kelen b'a da a kan ko ntɛnɛn tɛmɛnen sɔgɔma joona fɛ,","L'un des témoins ajoute que lundi tôt le matin,"
"Mali sɔrɔdasiw n'u dɛmɛbagaw irisiw solila ka don Sumuni dugu kɔnɔ,","les militaires maliens et leurs supplétifs russes se sont levés et sont entrés dans le village de Soumouni,"
"Ka kisɛ wuli dugumɔgɔ dɔw kan.","et ont tiré sur quelques villageois."
"Ko maa duuru de ni tora o yɔrɔ kelen na,","Sur le coup, c'est cinq personnes, dit-il, qui y ont laissé la vie."
"Ka maa wolonfila bɔɲɔgɔnko jogin.","Et environ sept personnes ont été blessées."
"Banbagatɔw cɛla, naani tun ye sɛnɛkɛlaw ye.","Parmi les morts, quatre étaient des agriculteurs."
"Tɔ kelen yɛrɛ tun ye dugu in kalanso ɲɛmɔgɔ de ye.","Quand au dernier, c'était le directeur de l'école du village."
"O min tun bɛ nɛgɛjuru de la a ka so da la sɔrɔdasi ninnu nawaati.","Lequel était au téléphone sur la pas de la porte de sa maison au moment où les militaires sont arrivés."
"Naani ninnu sudonna Sumuni dugu kɔnɔ yen.","Ces quatre personnes ont été enterrées là-bas dans le village de Soumouni."
"Kalanso ɲɛmɔgɔ in kɔni su bilala ka taa a bɔdugu la San,","Le cadavre du directeur de l'école, lui, a été emporté dans son village d'origine, à San."
"Walasa ka taa a ka suturali kɛ yen o dugusɛjɛ.","Afin d'y faire ses funérailles le lendemain à l'aube."
"Banabagatɔ gɛlɛnw saba minnu tun bɛ yen,","Les trois blessés graves qui étaient sur place,"
"Mali sɔrɔdasiw yɛrɛ ye u ta joona ka Segu dɔkɔtɔrɔsoba sɛgɛrɛ pankurun fɛ.","les militaires maliens les ont aussitôt emporté et ont rejoint en avion l'hôpital de Ségou."
"RFI y'a ɲini ka Mali kɛlɛbolow yɛrɛ hakilina don nin kunnafoniw kan.","RFI a cherché à obtenir de l'armée malienne leur point de vue à propos de ces informations."
"O ma jaabi di.","Elle n'a pas donné de réponse."
"Kabi waati jan, jamana caman bɛ ka Mali jalaki ni Irisi kɛnyɛrɛyesɔrɔdasi Wagner ko in ye.","Cela fait longtemps que de nombreux pays accusent le Mali des problèmes créés par la milice privée russe Wagner."
"Nka Mali furadama ye o ko in nkalontigiya.","Mais le Mali a de tout temps nié ces problèmes."
"Pɔl, í ni sú !","Paul, bonsoir."
"Nbá, Jígi, í ni sú !","Merci, Jigi, bonsoir !"
"Hɛ́rɛ tìlenna ?","La journée s’est-elle passée en paix ?"
"Hɛ́rɛ dɔ́rɔn.","En paix seulement."
"Sómɔgɔw bɛ́ dì ?","Comment vont les gens de la maison ?"
"Tɔ́ɔrɔ sí t'ù lá !","Il n’y a aucun mal en eux!"
"Sìgilan fílɛ !","Voici un siège !"
"Ò ka ɲì.","C’est bien."
"Jígi, Falajɛ ka bòn wà ?","Jigi, Falaje est-il grand ?"
"À ka bòn dɔ́ɔnin.","Il est un peu grand."
"Dùguba dòn wà ?","Est-ce une ville ?"
"Dùguba tɛ́.","Ce n’est pas une ville."
"Ò tùma, bùguda dòn ?","Alors, est-ce un hameau ?"
"Àyí dɛ́ !","Pas du tout! "
"Bùguda fána tɛ́ !","Ce n’est pas non plus un hameau !"
"Falajɛkaw ka cá wà ?","Les habitants de Falaje sont-ils nombreux ?"
"Ù ka cá dɔ́ɔnin.","Ils sont un peu nombreux."
"Falajɛ bɛ́ Kɔlɔkani màra lá wà ?","Falaje est-il dans le cercle de Kolokani ?"
"Àyí, à tɛ́ Kɔlɔkani màra lá, à bɛ́ Kati màra lá.","Non, il n’est pas dans le cercle de Kolokani, il est dans le cercle de Kati."
"Falajɛ ka jàn Kati lá ?","Falaje est-il loin de Kati ?"
"Àyí, à man jàn à lá kósɛbɛ.","Ce n’en est pas très loin."
"Falajɛ ka dí ?","Falaje est-il agréable ?"
"À ka dí dɔ́ɔnin.","Il est un peu agréable."
"Ǹka, à síra man ɲì dɛ́ !","Mais la route n’est pas bonne du tout !"
"Tìɲɛ ná, à man ɲì.","Vraiment, elle n’est pas bonne."
"Dùgutigi bɛ́ yàn wà ?","Y a-t-il un chef de village ici ?"
"Dùgutigi bɛ́ yàn kɛ̀ !","Bien sûr, il y a un chef de village ici !"
"À man kɔ̀rɔ wà ?","N’est-il pas âgé ?"
"À ka kɔ̀rɔ dɛ́ !","Il est très âgé!"
"Nê dá ka téli wà ?","Est-ce que je parle rapidement ?"
"Àyí, Jígi, í dá man téli, à ka ɲì tèn.","Non, Jigi, tu ne parles pas rapidement, c’est bien comme ça."
"Tìɲɛ ná, í hákili ka dí.","Vraiment, tu es intelligent."
"Ò ka dí ń túlo lá !","Il m’est agréable de l’entendre."
"Áyìwa, Pɔl, wáati séra !","Eh bien, Paul. C’est l’heure !"
"Báasi tɛ́ !","D’accord !"
"Í ni cé, í ni bàraji !","Merci, que tu en sois récompensé !"
"Nbá, í fána ni cé !","Merci, merci à toi aussi !"
"Ála ka sú hɛ́ra !","Que Dieu accorde la paix à la nuit !"
"Àmiina","Amen !"
"«Saya wali ɲɛnɛmaya ko kuma de don, an ka bi lakana ni an ka sini ɲɛnamaya ɲɛsigili kama.»","« L’humanité a le choix : coopérer ou périr. C’est soit un Pacte de solidarité climatique, soit un Pacte de suicide collectif »"
"Nin tun ye Antonio Gutteres ONU ɲɛmɔgɔba ka kɔsa in na kumaw de ye lamini lakanani ko la.","Telles furent les  paroles récentes du chef de l'ONU Antonio Guterres à propos de la protection de l'environnement."
"COP27 baaradaminɛ kɛnɛ kan yen fana, a ye lasɔmini kɛ k'an ka dugukolo bɛ ka kamanagan taamasiyɛn de lase nin waati in na.","Lors de l'ouverture des travaux de la COP27 il a également averti qu'en ce moment notre terre montrait des signes inquiétants"
"Jamana kɛmɛ fila hakɛ ka talikɛlaw ka bɔ diɲɛ fan bɛɛ lajɛlen fɛ, olu de bɛ COP27 lajɛ in kɛnɛ kan Egypte.","Les délégués de deux cent pays étaient présents lors de cette réunion de la COP27 en Égypte."
"Dɔgɔkun fila kɔnɔ, u bɛna fɛɛrɛw dajira waatiyɛlɛma kɔlɔlɔw kunbɛnni n'u ɲɛsigili la.","Durant deux semaines, ils vont présenter des solutions pour prévenir et anticiper les conséquences du changement climatique."
"Sabu o waatiyɛlɛma kɔlɔlɔw bɛ ka tiɲɛni kɛ don o don ka taa a fɛ diɲɛ kɔnɔ, n'o dɔw ye : ji walankatali ka sababu kɛ sanji damatɛmɛ nani ye, fiyɛn juguw, ja, fɔ ka taa se kungo jeniw wali tasuma wililiw ma yɔrɔw la.","En effet les conséquences du changement climatique se font sentir chaque jour par les dégâts occasionnés partout dans le monde :  inondations suite à des pluies exceptionnelles, tempêtes, sécheresses y compris feux de forêts et incendies."
"Ɲinan lajɛ in yɛrɛ la, da bɛ na se baabu dɔ ma, sentanjamanaw mɛnna ka min laɲini.","Au cours de la réunion de cette année, vont être abordés des sujets que les pays pauvres voulaient aborder depuis longtemps."
"N'o ye ka nafolo hakɛ dɔ saraliko waajibiya setigijamanaw kan, ka sababu kɛ u ka fiɲɛ nɔgɔli walew kan, waasa ka tɔw mɔnɛ bɔ.","C’est-à-dire le paiement de compensations qui seraient imposées aux pays riches en raison de leur responsabilité dans la détérioration de l'environnement, afin de dédommager les autres pays."
"COP27 lajɛ in yɛrɛ  kɛnɛ ɲɛmaaya bɛ Egypte kɔkanko minisiri bolo, ale y'a laɲini kɛnɛ in kan, k'u ka jɛ k'u fanga kɛ kelen ye waasa ka hadamadenw ani an ka dugukolo in yɛrɛ kisi.","La direction de cette réunion de la COP27 était entre les mains du ministre égyptien des affaires étrangères qui a demandé à l'assemblée d'unir les efforts afin de sauver les hommes et la terre elle-même."
"Bawo u tun ye fɛɛrɛ fɔlɔ min tigɛ waasa ka dansigi yɔrɔganko jugu la, diɲɛ tɛmɛn'o hakɛ kan ka sababu kɛ nin waati gɛlɛyaw ye.","En effet, les décisions initiales qui avaient été prises afin de limiter le  réchauffement climatique se sont avérées insuffisantes pour protéger la planète de la crise climatique."
"Lajɛ in baaraw bɛna to sen na fɔ nowanburu kalo in tile 18.","Les travaux de cette assemblée se poursuivront jusqu'au 18 novembre."
"Waati min na lakanabaliya kologɛlɛyalen don Koro mara la,","Lorsque l’insécurité s’aggrave dans la région de Koro, "
"O kɔlɔlɔ fanba o tun bɛ musolakaw de kan kosɛbɛ.","ce sont surtout les femmes qui supportent la majeur partie des conséquences."
"Walasa ka se ka musolakaw dɛmɛ u k'u bolomadayɔrɔ sɔrɔ,","Afin d’aider les femmes à trouver leur gagne-pain,"
"Balimakɛtɔn dɔ kɔni diɲɛna ka fɛɛrɛw bɛɛ lajɛlen latigɛ.","une organisation fraternelle a pris la décision de tout tenter. "
"O ko kɔnɔna na, an wulila ka se Yadianga dugu kɔnɔ na Koro mara la.","Afin d’en avoir le coeur net nous nous sommes mis en route pour le village de Yadianga dans la région de Koro."
"Nin musolaka minnu kɔni mana dɛmɛ sɔrɔ, olu bɛ tali kɛ bagan mara kan.","Les femmes qui ont obtenu cette aide s’occupent d’élevage."
"Janmila Nyangali - an y'a de sɔrɔ a ka bagan kɔrɔ, an ka a de lamɛn :","écoutons Janmila Nyangali, que nous avons trouvée au milieu de ses bêtes"
"Tobili kɔfɛ ne ka baara fanba bɛ ninnu bagan mara de ma.","Après la cuisine, l’essentiel de mon travail est de m’occuper de ces bêtes."
"An b'a labɛn de samiyɛ banwaati an bɛ bin ɲini k'a mara.","Nous nous préparons dès la fin de l’hivernage, c’est le moment où nos cherchons de l’herbe et la mettons de côté."
"Binta Bamajo, ale kɔni bɛ ka finiw ko, ","Binta Bamajo, quand à elle, est en train de faire la lessive,"
"nka a hakili bɛ a ka baaraw nɔ kosɛbɛ.","Mais elle pense surtout au travail qui l’attend."
"Bawo sɔɔni a bɛna ji di u ma.","Bientôt en effet elle leur donnera à boire."
"Ale fana ye maa ye min ye bagan sɔrɔ, an ka a de lamɛn.","Elle aussi fait partie des gens qui ont reçu du bétail, écoutons la:"
"Bagan maralen tun bɛ a la, u b'an dɔ ni, nka u y'an dɛmɛ.","Elle avait du bétail, ils en ont donné à certaines mais ils nous ont toutes aidées"
"U ye an muso hakɛ min dɛmɛ, an ka maa bi duuru bɛ an ko la.","Parmi les femmes de chez nous qu'ils ont aidées, il y en a quinze dans cette affaire."
"Baganmara ka gɛlɛn dɔɔnin, mɛ nafa b'a la.","L’élevage c’est un peu difficile, mais on peut en tirer un profit."
"Hamidu Djindɛ, ale kɔni ye Binta cɛ.","Hamidou Djindé lui, est le mari de Binta."
"A b'a yɛrɛ na k'a fɔ ko Binta bagan mara,","Il pense qu'on peut dire que l'élevage de Binta,"
"A bɛ nafa lase du kɔnɔna fana na, an k'ale lamɛn.","c'est aussi quelque chose qui profite à la famille, écoutons le :"
"Kabi ne ye ne muso sɔrɔ kɔni yan,","Au début quand j'ai épousé ma femme,"
"A nafa tun ma se du kɔnɔna na.","elle ne pouvait pas contribuer à la famille."
"Tuma dɔw la a bɛ denmisɛnnu ka fini san,","Maintenant c'est parfois elle qui achète les vêtements des enfants,"
"Tuma dɔw la ni denmisɛnnu minnu man kɛnɛ, a b'i janto u ye,","Parfois quand ils sont malades, c'est elle qui s'occupe d'eux,"
"A b'u kɛ k'olu fana fɛɛrɛ bɔ.","c'est elle qui les soigne et les habille."
