"french","bambara"
"liane chevelue","ngálajɔ"
"araignée rouge","ála-ká-mìsi"
"arc-en-ciel","ála-ká-mùru"
"arc-en-ciel","sánmurubilen"
"arc-en-ciel","ála-ká-mùru.jan"
"sacrilège","álakota"
"[Context: kb 1/05 p 12] craignons Dieu et cessons de lui désobéir","án kà síran Ála ɲɛ́ kà Álakota dábila"
"volonté.de Dieu","álalakɛ"
"on ne peut contrarier la volonté de Dieu","mɔ̀gɔ tɛ́ sé kà álalakɛ bàli"
"personne pieuse","álalandi"
"piété","álalandiya"
"amour de Dieu","álalandiya"
"religieux","álamadi"
"personne consacrée à.Dieu","álamadi"
"mariage sans dot","álamadi"
"dures épreuves","álamakɔnɔ"
"attente de l'accouchement","álamakɔnɔ"
"congé.prénatal","álamakɔnɔ"
"amende","álamani"
"imposer une amende à qn","álamani bìn  mɔ̀gɔ kàn"
"le moindre","álamata"
"même","álamata"
"résignation","álaminɛ"
"résignation","bìlangalama"
"personne résignée","álaminɛjɔn"
"jeudi","àlamisa"
"[Context: comme dans la Bible, la journée du jeudi commence par la nuit suivie du jour] [Context: m à m : le soir du jeudi] mercredi soir","àlamisasu"
"jeudi","àlamisadon"
"jeudi","àlamisadonya"
"impie","álaɲɛsiranbali"
"impiété","álaɲɛsiranbaliya"
"crainte de Dieu","álaɲɛsiranyɛ"
"mil de Dieu","álaɲɔ"
"mil de Dieu","álalaɲɔ"
"mil de Dieu","ngála.ɲɔ"
"religion","álasira"
"loi divine","álasira"
"espace entre les dents","álasira"
"un tel a les dents espacées","álasira bɛ́  kàrisa lá"
"trace verticale du coin des yeux","álasira"
"arbre Acacia albida","álasɔsɔjirinin"
"arbre Acacia albida","bálansan"
"faidherbier","álasɔsɔjirinin"
"faidherbier","bálansan"
"louange de Dieu","álatanu"
"bonne santé","álatanu"
"3SG EMPH","àlê"
"3SG EMPH","ɛ̀"
"Nci dit que c'est lui qui va s'expliquer en premier","Ncí kó : àle fɔ́lɔ dè bɛ́  à dàntígɛ :"
"cheville","álekabakuru"
"Dieu soit loué","álhamdulilayi"
"Dieu soit loué","álihamedulilahi"
"paradis","àlijɛnɛ"
"paradis","àlijinɛ"
"paradis","àlijana"
"paradis","àrijana"
"paradis","àljinɛ"
"paradis","àljana"
"bienheureux","àlijinɛden"
"bienheureux","àrijana.den"
"saint du ciel","àlijinɛden"
"saint du ciel","àrijana.den"
"blé","àlikama"
"blé","àlikaama"
"farine","àlikamamugu"
"farine","àlikaama.mugu"
"farine de froment","àlikamamugu nùgulenba"
"l'au-delà","àlikiyama"
"l'au-delà","kíyama"
"imam","àlimami"
"imamat","àlimamiya"
"allemand","áliman"
"allumette","àlimɛti"
"allumette","àlumɛti"
"allumette","àlimɛtikala"
"allumette","tákala"
"Américain","ámerikɛn"
"amen","àmiina"
"amen","àmi"
"bonne nuit !  -  ainsi soit-il !","k'àn sì  hɛ́rɛ lá !  -  àmiina !"
"1PL","án"
"nous partons au champ","án bɛ́ táa  fòro lá"
"[Context: le grand frère de nous] c'est notre grand frère","án kɔ̀rɔkɛ yé  nìn yé"
"c'est notre charrette","án ká wòtoro dòn"
"c'est le nôtre, c'est la nôtre, c'est à nous","án tá dòn"
"anglais","àngilɛ"
"enveloppe","ánglɔpu"
"enveloppe","ánwulɔpu"
"enveloppe","ánbulɔku"
"ainsi que","àni"
"ainsi que","àn'"
"[Context: souvent employé avant le dernier mot d'une série] [Context: aussi] il lui a donné du mil et  des kolas","à yé  ɲɔ́ d'á mà  àni  wòro"
"bien sûr","ànkɛ"
"c'est normal","ànkɛ"
"1PL EMPH","ánw"
"1PL EMPH","ún"
"qui veut partir ? - nous !","jɔ́n ní  jɔ́n b'á fɛ̀  kà táa ? - ánw !"
"conjonctivite","àpolo"
"conjonctivite","àpolo.ɲɛ.dimi"
"mercredi","àraba"
"[Context: m à m : soir du mercredi] mardi soir","àrabasu"
"mercredi","àrabadon"
"radio","àrajo"
"bord de rails","àrayeda"
"Radjab","àrijaba"
"Radjab","àrajaba"
"Radjab","àrjaba"
"Djumada al-Ahira","àrijabamakɔnɔ"
"Arma","arma"
"aspirine","ásipirini"
"2PL EMPH","áw"
"d'où venez-vous ?","á bɔ́ra mín ?"
"ce n'est pas le vôtre, ce n'est pas à vous !","á tá tɛ́ !"
"avril","áwirili"
"oui","àwɔ́"
"oui","ɔ̀wɔ́"
"oui","àwá"
"non","àyi"
"non ! pas du tout !","àyi  dɛ́ !"
"[Context: je te dis que] non !","àyi  sá !"
"bon","áyiwa"
"bon","áyiw'"
"eh bien !","áyiwa"
"eh bien !","áyiw'"
"dans ce cas","áyiwa"
"dans ce cas","áyiw'"
"allons !","áyiwa"
"allons !","áyiw'"
"chèvre","bà"
"caprin","bà"
"mille","bà"
"mille","wáa"
"5 000 francs","(dɔ́rɔmɛ) bà kélen"
"10 000 francs","(dɔ́rɔmɛ) bà fìla"
"fleuve","bá"
"lac","bá"
"traverser  une rivière...","bá tìgɛ"
"jeter un pont sur une rivière","bá bíli"
"pêcher au filet dans une rivière","bá mɔ́"
"[Context: souhait] bonne pêche !","Ála kà  bá díya !"
"mère","bá"
"ils sont frères utérins","ù bɛ́  bá lá"
"ils sont de la même mère","bá bɛ́  ù tíla"
"mère","bá"
"[Context: une telle] mère  !","bá kàrisa"
"femelle qui a des petits","bá"
"racine mère","bá"
"bourbillon","bá"
"énergie","bá"
"tu ne l'as pas pris au sérieux","í má  à dòn  bá rɔ́"
"mets-y toute ton application","í bá dòn  à lá"
"""papa""","bàa"
"""papa""","bà"
"[Context: l'aîné des ""pères""] ""papa âgé""","bàakɔrɔ"
"[Context: le cadet des oncles paternels] ""petit"" papa","bàancinin"
"""père"" Ngolo","bàa Ngòlo"
"conversation","báabu"
"conversation","bàro"
"conversation","másala"
"causerie","báabu"
"causerie","bàro"
"causerie","másala"
"nous avons bavardé  ù ye  baabu kɛ","án yé  báabu bɔ́"
"causer","báabu"
"nous avons bavardé un peu","án yé  dɔ́ báabu"
"travail dur","báabugubaara"
"protection","bàadɛ"
"protection","bàdɛ"
"bénédiction","bàadɛ"
"bénédiction","bàdɛ"
"Que Dieu t'accorde sa grâce !","Ála kà  bàadɛ kɛ́  í yé !"
"violemment","bàadɛbɛ"
"poisson-chien","bàalan"
"poisson-chien","bàalannin"
"riche","bàana"
"riche","fɛ́ntigi"
"riche","bólotatigi"
"riche","nàfolotigi"
"bien habillé","bàana"
"bien habillé","fɛ́ntigi"
"bien habillé","bólotatigi"
"bien habillé","nàfolotigi"
"colporteur","bàanabaana"
"petit commerçant ambulant","bàanabaana"
"petit commerce","bàanabaanaya"
"[Context: kb 5/06p 3] il est parachuté à Bamako à l'âge de 12 ans et y fait du petit commerce","à cúnna Bàmakɔ k'à sì tó sàn 12 lá kà bàanabaanaya kɛ́."
"acacia tannin","bàanan"
"acacia tannin","bàganan"
"acacia tannin","bùwanɛ"
"richesse","bàanaya"
"enrichir","bàanaya"
"devenir riche","bàanaya"
"travail","báara"
"travail","cí"
"travail","kó"
"travail","kóba"
"travailler","báara kɛ́"
"quand l'heure du travail sera arrivée","ní  báara wúlila"
"quand la fin du travail sera arrivée","ní  báara jìginna"
"à chaque type de travail sa rémunération,  tout travail mérite salaire","báara bɛ́ɛ ní à sàra dòn"
"[Context:  à qn au travail, ou revenant du travail] salut !","í ní  báara !"
"métier","báara"
"métier","cí"
"métier","kó"
"métier","kóba"
"affaire difficile","báara"
"affaire difficile","cí"
"affaire difficile","kó"
"affaire difficile","kóba"
"ça va faire problème","à nà kɛ́  báara yé"
"travailler","báara"
"travailler","dàbali"
"cultiver le terrain, le sarcler","yɔ́rɔ báara"
"soigner une plaie","jólida báara"
"préparer le ""to""","tò báara"
"les forgerons travaillaient le minerai pour en tirer du fer","nùmu tùn bɛ́  bɛ̀lɛ báara  k'à kɛ́  nɛ̀gɛ yé"
"ensorceler","báara"
"ensorceler","dàbali"
"le marabout lui a jeté un sort","mórikɛ yé  à báara"
"pause dans le travail","báarabila"
"démission","báarabila"
"grève","báarabila"
"lieu de travail","báarada"
"lieu de travail","báarakɛda"
"lieu de travail","báarayɔrɔ"
"lieu de travail","cíyakɛda"
"service administratif","báarada"
"service administratif","báarakɛda"
"service administratif","báarayɔrɔ"
"service administratif","cíyakɛda"
"profession","báarada"
"profession","báarakɛda"
"profession","báarayɔrɔ"
"profession","cíyakɛda"
"travailleur","báaraden"
"travailleur","báarakɛden"
"travailleur","báarakɛla"
"serviteur","báaraden"
"serviteur","báarakɛden"
"serviteur","báarakɛla"
"état de travailleur","báaradenya"
"état de domestique","báaradenya"
"[Context: kb 6/06 p 7] ni la fiancée arrive à partir comme bonne à Bamako ...","ní  màminɛmuso séra  kà bɔ́  kà táa báaradenya ná Bàmakɔ"
"sans-travail","báarakɛbali"
"lieu de travail","báarakɛda"
"lieu de travail","báarada"
"lieu de travail","cíyakɛda"
"service","báarakɛda"
"service","báarada"
"service","cíyakɛda"
"employé","báarakɛden"
"manoeuvre","báarakɛden"
"bonne","báarakɛden"
"travailleur","báarakɛla"
"il n'y a pas de travailleur semblable à lui","à ɲɔ̀gɔn báarakɛla tɛ́"
"outil","báarakɛmina"
"outil","báara.kɛ.minɛn"
"outil","báara.kɛ.minan"
"collègue","báarakɛɲɔgɔn"
"compagnon de travail","báarakɛɲɔgɔn"
"travail collectif","báarakɛɲɔgɔnya"
"[Context: kb 10/04 p 4] la plus grosse difficulté vient du fait que tous les chercheurs ne s'associent pas entre eux","gɛ̀lɛya fànba yé  mín yé : báarakɛɲɔgɔnya tɛ́  ɲíninikɛla bɛ́ɛ ní  ɲɔ́gɔn cɛ́"
"[Context: kb 3/05 p 10] que les commerçants se connaissent et que le travail en association ait cours entre eux","jàgokɛla kà ɲɔ́gɔn dɔ́n  wáasa  báarakɛɲɔgɔnya kà bòli  ù ní ɲɔ́gɔn cɛ́"
"chômeur","báarantan"
"oisif","báarantan"
"réduire au chômage","báarantanya"
"oisiveté","báarantanya"
"oisiveté","báarasɔrɔbaliya"
"chômage","báarantanya"
"chômage","báarasɔrɔbaliya"
"manoeuvre","báaraɲini"
"demande d'emploi","báaraɲinisɛbɛn"
"chômage","báarasɔrɔbaliya"
"chômage","báarantanya"
"patron","báaratigi"
"employeur","báaratigi"
"lieu de travail","báarayɔrɔ"
"lieu de travail","báarada"
"lieu de travail","báara.kɛ.da"
"chantier","báarayɔrɔ"
"chantier","báarada"
"chantier","báara.kɛ.da"
"lutte","báari"
"lutte","syɛ̀n"
"lutter, faire la lutte","báari tà"
"maçon","báari"
"maçon","bári"
"lutter","báari"
"lutteur","báaritala"
"lutteur","syɛ̀ntala"
"tante cadette","báarɔ"
"problème","báasi"
"inconvénient","báasi"
"d'accord, c'est entendu","báasi tɛ́"
"il n'y a pas d'inconvénient","ò tɛ́  báasi yé"
"si vous n'y voyez pas d'inconvénient","ní  à má kɛ́  báasi yé  á bólo"
"grave","báasima"
"d'accord, ce n'est pas grave","báasima tɛ́"
"ils ne savent pas que c'est grave","ù t'á dɔ́n  báasima yé"
"fleur femelle du maïs","báatara"
"inutilité","báatara"
"vaurien","báataraden"
"fils de vaurien","báataraden"
"bagatelle","báatarafɛn"
"futilité","báatarafɛn"
"affaire insignifiante","báatarako"
"c'est important, il s'agit d'une grande quantité","báatarako tɛ́ !"
"vaurien","báataramɔgɔ"
"papa","bàba"
"papa","bàaba"
"papa","bwà"
"oncoba-tabatières","bábara"
"oncoba-tabatières","kɔ́nkɔnbaranin"
"gravier fluvial","bábɛlɛ"
"pont","bábili"
"affluent","bábolo"
"bras d'un fleuve","bábolo"
"case pour les chèvres","bàbon"
"case pour les chèvres","bàsulu"
"estime pour la maman","bábonya"
"[Context: future] cadeau fait à.la..belle-mère","bábonya"
"plante Chloris breviseta","bàboonsi"
"ossature","bábɔ"
"sable de rivière","bácɛncɛn"
"toujours","báda"
"toujours","bádaa"
"toujours","báada"
"rive","báda"
"plouf","bádawo"
"il s'est jeté dans l'eau, plouf !","ò y'á fìli  jí rɔ́ bádawo !"
"chevreau","bàden"
"[Context: e] frère/soeur utérin","báden"
"frère","báden"
"le père a rassemblé ses frères","fà yé  báden lájɛ"
"frère","báden"
"fraternité","bádenya"
"les enfants de la même mère s'aiment bien","bádenya ká dí"
"amour familial","bádenya"
"l'entente fraternelle a disparu","bádenya tíɲɛna"
"entente","bádenya"
"n'est-ce-pas?","bádì"
"lit du fleuve","bádingɛ"
"plante Phyllanthus discoideus.","bàdufalen"
"enfant béni","bádugaden"
"lamantin","báfàarɔ"
"lamantin","bárɔfaarɔ"
"lamantin","mà"
"confluent","báfilabɛn"
"confluent","bá.fla.bɛn"
"changer","báfili"
"quand ce devin voit qc de bon à ton sujet,il le change en mauvais","cɛ̀ndala nìn mána  ɲùman yé  í kùn kàn, à b'ó báfili  í mà"
"plante Commelina capitata.","bàfoolo"
"poison","bàga"
"poison","bwà"
"plantes réputées toxiques","bàga"
"plantes réputées toxiques","bwà"
"plantes grasses","bàga"
"plantes grasses","bwà"
"bouillie","bàga"
"bouillie","sèri"
"offenser","bàga"
"offenser","bàa"
"tu as outragé une vieille personne, ce n'est pas bien","í bàgara  màakɔrɔ mà, ò mán ɲì"
"bleu","bága"
"elle a teint son pagne en bleu","à yé  fìni dòn  bága lá"
"intimidation","bàgabaga"
"intimider","bàgabaga"
"il est venu me trouver tout affolé","à jà bàgabagalen séra  né mà"
"bleu pâle","bágajɛ"
"insecticide liquide","bàgaji"
"[Context: 2/06 p 7] même si le prix de l'insecticide liquide a diminué","háli ní dɔ́ bɔ́ra  bàgaji sɔ̀ngɔ lá..."
"vénéneux","bàgama"
"toxique","bàgama"
"bleu","bágama"
"bleu","bága.la.ma"
"offense","bàgamako"
"affront","bàgamako"
"sans offense, est-ce qu'on se met à insulter son prochain ?","ní  bàgama tɛ́, mɔ̀gɔ bɛ́ fɔ́lɔ  kà í mɔ̀gɔɲɔgɔn nèni wá ?"
"châtiment immérité","bàgamako"
"châtiment immérité","bàa.ma.ko"
"Que Dieu te préserve d'injustices !","bàamako, Ála m'í kísira  ò mà !"
"amulette en cuir","bàgan"
"bête","bágan"
"bétail","bágan"
"garder le bétail, le faire paître","bágan màra"
"élever du bétail","bágan màra / lámara / ládon"
"acacia tannin","bàganan"
"acacia tannin","bwànan"
"acacia tannin","bwànɛ"
"abattoir","báganfagayɔrɔ"
"pasteur","bágangɛnna"
"berger","bágangɛnna"
"plante Jatropha curcas","bàganin"
"plante Jatropha curcas","mùgu"
"troupeau","bágankulu"
"[Context: gn 33, 8] que comptais-tu faire avec tout ce troupeau que j'ai rencontré ?","""Né ní  bágankulu mín bɛ̀nna, í bɛ́  à fɛ̀  kà mùn kɛ́ ní  ò yé?"""
"gros bétail","bágankunbaba"
"élevage","báganmara"
"élevage","bágan.na.don"
"éleveur","báganmarala"
"éleveur","bágannadonna"
"petit bétail","báganmisɛn"
"petit bétail","bágan.misɛn.man"
"fumier","bágannɔgɔ"
"non toxique","bàgantan"
"kilogramme","bàgaramu"
"plante Urginea altissima","bàga-sàbali"
"plante Urginea altissima","bwà-sà.bali"
"plante à.bulbe","bàga-sàbali"
"plante à.bulbe","bwà-sà.bali"
"plante Haemanthus multiflorus","bàga-sàbali"
"plante Haemanthus multiflorus","bwà-sà.bali"
"teindre en bleu","bágaya"
"chevreau","bàgeren"
"chevreau","bà.gweren"
"chevrier","bàgɛnna"
"chevrier","bàgɛnden"
"lèpre lépromateuse","bàgi"
"lèpre lépromateuse","fàrilɔfɛn"
"lèpre lépromateuse","bànaba"
"lèpre à.pustules","bàgi"
"lèpre à.pustules","fàrilɔfɛn"
"lèpre à.pustules","bànaba"
"étoffe","bági"
"tissu","bági"
"très chaud","bágibagi"
"c'est très chaud !","à ká gòni bágibagi !"
"acacia spirale","bàgifin"
"Acacia sieberiana","bàgijɛ"
"étoffe","bágimugu"
"lépreux","bàgitɔ"
"bouc castré","bàjaga"
"bouc castré","bàntɛgɛ"
"canal","bájalan"
"grande chèvre du Sahel","bàjan"
"vagabonder","bàjanbila"
"une telle court  comme elle le veut","kàrisa b'í yɛ̀rɛ bàjanbila"
"vagabondage","bàjanbilaya"
"liberté.sans limite","bàjanbilaya"
"[Context: kb 9/04 p 7] qu'on enlève aux jeunes un peu de leur liberté sans limité","dɔ́ kà bɔ́ dénmisɛn ká bàjanbilaya lá"
"vagabondage","bàjanyaala"
"vagabondage","bìlasenfɛya"
"eau du fleuve","báji"
"eau du lac","báji"
"bouc adulte","bàjigi"
"bouc adulte","bà.kɔrɔ"
"couverture","bájɔ"
"fondement","báju"
"origine","báju"
"fil de chaîne","bájuru"
"fil de chaîne","gèse"
"le tisserand  déroule le fil de chaîne et le fait entrer dans le métier","gèsedala bɛ́  bájuru wálawala  k'à dòn  kɔ̀lɛ lá"
"corde de flottaison des filets","bájuru"
"corde de flottaison des filets","gèse"
"avare","bàkilu"
"avare","tɛ́gɛmagɛlɛn"
"avare","bàkiilu"
"chiche","bàkilu"
"chiche","tɛ́gɛmagɛlɛn"
"chiche","bàkiilu"
"avare","bàkilu"
"avare","bàkiilu"
"avarice","bàkiluya"
"berge","bákogo"
"berge","bátintin"
"essentiel","bákolo"
"charpente","bákolo"
"flotteur d'un filet","bákolo"
"bousier","bàkolonkolonmusa"
"poisson Synodontis clarias","bákɔnkɔn"
"poisson Synodontis clarias","ngóninjɛ"
"poisson Synodontis clarias","sàmaɲinɛnin"
"poisson Synodontis sorex","bákɔnkɔn"
"poisson Synodontis sorex","ngóninjɛ"
"poisson Synodontis sorex","sàmaɲinɛnin"
"rive","bákɔnɔ"
"côté.d'un fleuve","bákɔnɔ"
"pluvian d'Egypte","bákɔnɔnin"
"pluvian d'Egypte","bá.la.kɔ̀nɔ.nin"
"pluvian d'Egypte","bá.la.kɔnɔ.nin.fin"
"bouc","bàkɔrɔ"
"impudique","bàkɔrɔ"
"mère aînée","bákɔrɔ"
"mère aînée","bákɔrɔba"
"plante Chloris breviseta","bàkɔrɔboonsi"
"plante Oxystelma bournoense","bàkɔrɔfɔrɔkili"
"queue de bouc","bàkɔrɔku"
"queue de bouc","fùgari"
"vaurien","bàkɔrɔku"
"vaurien","fùgari"
"un tel est une queue de bouc : elle ne peut éventer l'anus, elle ne peut l'obturer","kàrisa yé  bàkɔrɔku yé, à tɛ́  bòdingɛfifa ɲà, à t'á dátugu ɲà"
"bouc","bàkɔrɔnin"
"débauché","bàkɔrɔnin"
"civette","bàkɔrɔnkuri"
"eczéma suintant","bàkɔrɔnkuriɲama"
"plante Lannea velutina","bàkɔrɔnpeku"
"plante Lannea velutina","npèkubaŋɛɲɛ"
"plante Lannea velutina","bènbekuna"
"plante Lannea velutina","bènbemuso"
"raisinier velu","bàkɔrɔnpeku"
"raisinier velu","npèkubaŋɛɲɛ"
"raisinier velu","bènbekuna"
"raisinier velu","bènbemuso"
"varicelle","bàkɔrɔnson"
"apprivoiser","bàku"
"apprivoiser","kólo"
"apprivoiser","bágu"
"dresser","bàku"
"dresser","kólo"
"dresser","bágu"
"il a apprivoisé un petit singe","à yé  wáradennin bàku"
"élever","bàku"
"élever","kólo"
"élever","bágu"
"fétiche","bàkulan"
"l'ensemble","bákun"
"toute la personne","bákun"
"[Context: pour toi] les bambara disent que la raison de la venue de quelqu'un est plus importante que soi-même . Ainsi : l'étude de la langue bambara est  plus importante que toi-même.","bámana kó : màa nàkun ká fìsa í yɛ̀rɛ yé, í ń'á fɔ́ : bámanakan ká fìsa  í yɛ̀rɛ bákun yé"
"plante Indigofera dendroides","bàkunbere"
"tout","bákuru"
"tout entier","bákuru"
"entièrement","bákuruma"
"il a brûlé entièrement","à bákuruma jènina"
"s’abonner","bàkurumasan"
"s’abonner","bàkurubasàn"
"prendre un abonnement complet","bàkurumasan"
"prendre un abonnement complet","bàkurubasàn"
"abonné","bákurumasanna"
"qui achète tout à.la fois","bákurumasanna"
"porc-épic","bàla"
"faim","bàla"
"faim","kɔ́ngɔ"
"j'ai faim","bàla bɛ́ ń ná"
"âne de couleur rougeâtre","bàla"
"surprendre","bàla"
"survenir soudainement","bàla"
"cela m'a surpris, je ne m'en suis pas douté","à bàlala ń ná"
"nous nous sommes rencontrés par hasard","án bàlala  ɲɔ́gɔn ná"
"plante Pterocarpus lucens","bála"
"plante Pterocarpus lucens","ngálajiri"
"balafon","bála"
"fabriquer un balafon","bála bɔ́ / díla / tón"
"parcelle","bála"
"délimiter une parcelle à cultiver","bála bɔ́ / cì"
"grand balafon traditionnel du Bèlèdugu","bálaba"
"bouillir","bàlabala"
"cuire à l'eau","bàlabala"
"serrure","bàlábàlá"
"calebasse de xylophone","bálabara"
"lame de balafon","báladen"
"lame de balafon","bála.kisɛ"
"joueur de xylophone","bálafɔla"
"porc-épic mâle","bàlajigi"
"piquant de porc-épic","bàlajolo"
"se précipiter","bàlaka"
"il est sorti précipitamment","à y'í bàlaka  kà bɔ́"
"Maman","bálaka"
"précipitation","bàlakabalaka"
"précipitation","bàlagabalaga"
"précipitamment","bàlakabalaka"
"bâcler","bàlakabalaka"
"agir précipitamment","bàlakabalaka"
"il s'est levé précipitamment","à bàlakabalakara  kà wúli"
"surprise","bàla-kà-wúli"
"surprise","gáragara"
"oiseau ganga sénégalais","bàla-kà-wúli"
"oiseau ganga sénégalais","gáragara"
"oiseau ganga tacheté","bàla-kà-wúli"
"oiseau ganga tacheté","gáragara"
"oiseau ganga de Gambie","bàla-kà-wúli"
"oiseau ganga de Gambie","gáragara"
"plante Dicoma tomentosa","bàla-kà-wúli"
"plante Dicoma tomentosa","gáragara"
"lame de balafon","bálakisɛ"
"lame de balafon","báladen"
"fruit mûri sur l'arbre","bálamɔ"
"tenailles","bàlan"
"pinces de forgeron","bàlan"
"barrage","bàlan"
"digue","bàlan"
"s'accrocher","bálan"
"être pressé.de","bálan"
"son habit s'est accroché aux épines","à ká dùlɔki bálanna  ŋɔ́ni ná"
"ils sont pressés de venir","ù bálanna  nàli kɔ́rɔ"
"tarder","bálan"
"il a été retardé","à bálanna  kà nà"
"empêcher","bálan"
"s'obstiner","bálan"
"elle s'est obstinée disant qu'elle partait","à y'í bálan kó  à bɛ́ táa"
"sur","bálan"
"sur","bála"
"il est monté à l'arbre","à yɛ̀lɛnna  jíri bálan"
"[Context: prov] l'arbre sur lequel est monté ton père, même si tu n'arrives pas à y grimper, assieds-toi à son ombre","í fà yɛ̀lɛnna  jíri mín bálan, háli ń'í má sé  à bálan, í k'ì sìgi  à súma ná"
"empêchement","bálan"
"accrochage","bálan"
"petit balafon","bálanin"
"petit balafon","túrukabala"
"arbre Faidherbia albida","bálansan"
"arbre Faidherbia albida","álasɔsɔjirinin"
"faidherbier","bálansan"
"faidherbier","álasɔsɔjirinin"
"dysenterie","bàlaɲama"
"catastrophe","bàlawu"
"catastrophe","màsiba"
"échauffourée","bàlawu"
"échauffourée","màsiba"
"avec intensité","bálawu"
"avec intensité","bárawu"
"le feu a pris d'un seul coup !","tá mánana bálawu !"
"batailleur","bàlawuden"
"batailleur","bàlawu.mɔgɔ"
"querelleur","bàlawuden"
"querelleur","bàlawu.mɔgɔ"
"querelleur","bàlawuma"
"batailleur","bàlawuma"
"humeur bagarreuse","bàlawumaya"
"propension à.la querelle","bàlawumaya"
"gratitude","bàlayi"
"un tel est peu reconnaissant","kàrisa bàlayi ká dɔ́gɔ"
"ingrat","bàlayintan"
"être ingrat","bàlayintanya"
"il a été ingrat envers eux","à yé  ù bàlayintanya"
"ingratitude","bàlayintanya"
"poteau fourchu","bàlema"
"fourche","bàlen"
"fourche","bale"
"[Context: prov] si tu fabriques un tambourin et le mets  en bandoulière à la perruche,elle le jouera sur la fourche de beaucoup de grands arbres","ń'í yé  ntàma tù  k'à bìla  sòlo kɛ̀rɛ lá, à bɛ́ fɔ́  jíriba cáman bàlen ná"
"quinquina des chèvres","bàlenbo"
"quinquina des chèvres","bàle.mo"
"empêcher","bàli"
"interdire","bàli"
"il ne l'empêche de faire aucune de ces 2 actions","à t'á bàli  à fìla sí lá"
"échouer","bàli"
"mes arachides n'ont pas réussi","né bàlila  tìga lá"
"mouton du Sahel","bálibali"
"mouton du Sahel","bálibalisaga"
"obstacle","bàliko"
"[Context: Jr 32, 27] y-a-t-il une chose trop difficile pour moi ?","né bàliko dɔ́ bɛ́ wá?"
"adulte","báliku"
"grandir","báliku"
"devenir adulte","báliku"
"alphabétisation","bálikukalan"
"adulte alphabétisé","bálikukalanden"
"adulte qui suit les cours d'alphabétisation","bálikukalanden"
"centre d'alphabétisation pour adultes","bálikukalanso"
"devenir adulte","bálikuya"
"louer","bálima"
"louer","bárama"
"flatter","bálima"
"flatter","bárama"
"frère","bálima"
"frère","bálema"
"frère","bá.den.ma"
"soeur","bálima"
"soeur","bálema"
"soeur","bá.den.ma"
"[Context: les gens de] Daban et vous, vous êtes de la même grande famille","á ní  Dában yé  bádenma yé"
